PERMNO,date,TICKER,TRDSTAT,PRC,RET,SHROUT,sprtrn
64653,20181130,PSA,A,213.25999,0.037913,174364,0.017859
64653,20181231,PSA,A,202.41,-0.041499,174364,-0.091777
64653,20190131,PSA,A,212.52,0.049948,174364,0.078684
64653,20190228,PSA,A,211.49001,-0.004847,174499,0.029729
64653,20190329,PSA,A,217.78,0.039198,174371,0.017924
64653,20190430,PSA,A,221.17999,0.015612,174371,0.039313
64653,20190531,PSA,A,237.88,0.075504,174522,-0.065778
64653,20190628,PSA,A,238.17,0.009627,174522,0.06893
64653,20190731,PSA,A,242.75999,0.019272,174598,0.013128
64653,20190830,PSA,A,264.73999,0.090542,174598,-0.018092
64653,20190930,PSA,A,245.27,-0.065989,174598,0.017181
64653,20191031,PSA,A,222.86,-0.091369,174680,0.020432
64653,20191129,PSA,A,210.67999,-0.054653,174680,0.034047
64653,20191231,PSA,A,212.96001,0.020315,174680,0.02859
64653,20200131,PSA,A,223.75999,0.050714,174680,-0.001628
64653,20200228,PSA,A,209.12,-0.065427,174759,-0.08411
64653,20200331,PSA,A,198.61,-0.040694,174637,-0.125119
64653,20200430,PSA,A,185.45,-0.066261,174793,0.126844
64653,20200529,PSA,A,202.74001,0.093233,174793,0.045282
64653,20200630,PSA,A,191.89,-0.043652,174793,0.018388
64653,20200731,PSA,A,199.88,0.041638,174793,0.055101
64653,20200831,PSA,A,212.39999,0.062638,174803,0.070065
64653,20200930,PSA,A,222.72,0.058004,174803,-0.039228
64653,20201030,PSA,A,229.07001,0.028511,174803,-0.027666
64653,20201130,PSA,A,224.46001,-0.020125,174822,0.107546
64653,20201231,PSA,A,230.92999,0.037735,174822,0.037121
64653,20210129,PSA,A,227.62,-0.014333,174822,-0.011137
64653,20210226,PSA,A,233.94,0.027766,174912,0.026091
64653,20210331,PSA,A,246.75999,0.06335,174790,0.042439
64653,20210430,PSA,A,281.16,0.139407,174978,0.052425
64653,20210528,PSA,A,282.48001,0.004695,174978,0.005487
64653,20210630,PSA,A,300.69,0.071545,174978,0.022214
64653,20210730,PSA,A,312.48001,0.03921,174978,0.022748
64653,20210831,PSA,A,323.60999,0.035618,175228,0.02899
64653,20210930,PSA,A,297.10001,-0.075739,175228,-0.047569
64653,20211029,PSA,A,332.17999,0.118075,175228,0.069144
64653,20211130,PSA,A,327.38,-0.01445,175355,-0.008334
64653,20211231,PSA,A,374.56,0.150223,175355,0.043613
64653,20220131,PSA,A,358.53,-0.042797,175355,-0.052585
64653,20220228,PSA,A,355.01999,-0.00979,175134,-0.031361
64653,20220331,PSA,A,390.28,0.104952,175357,0.035773
64653,20220429,PSA,A,371.5,-0.048119,175357,-0.087957
64653,20220531,PSA,A,330.64001,-0.109986,175529,0.000053
64653,20220630,PSA,A,312.67001,-0.0483,175529,-0.08392
64653,20220729,PSA,A,326.41,0.086001,175529,0.091116
64653,20220831,PSA,A,330.82999,0.013541,175542,-0.04244
64653,20220930,PSA,A,292.81,-0.108878,175542,-0.093396
64653,20221031,PSA,A,309.75,0.057853,175542,0.079863
64653,20221130,PSA,A,297.95999,-0.038063,175638,0.053753
64653,20221230,PSA,A,280.19,-0.052927,175638,-0.058971
64899,20130131,STZ,A,32.1,-0.085731,23511,0.050428
64899,20130228,STZ,A,-44.25,0.378505,23511,0.011061
